gpa,cum_total_crds,gender,asian,black,hawaiian,hispanic,unknown,white,ethnic_dummy,format_ol,format_blended,sat_math_NEW,sat_verbal_NEW,enroll_count,format_f2f_v_ol,format_f2f_v_blended,format_combined_v_f2f,falsexam,experiment1
2.014,63,1,0,0,0,0,0,1,0,0,0,540,540,NA,0,0,1,0,0
3.72,33,1,0,0,0,0,0,1,0,0,0,590,630,NA,0,0,1,0,0
NA,4,0,0,0,0,0,0,1,0,0,0,650,570,NA,0,0,1,0,0
NA,10,1,NA,NA,NA,NA,NA,NA,NA,0,0,690,690,NA,0,0,1,0,0
NA,0,0,0,1,0,0,0,0,1,0,0,480,420,NA,0,0,1,0,0
NA,14,1,0,0,0,0,0,1,0,0,0,670,640,NA,0,0,1,0,0
NA,19,1,0,0,0,0,0,1,0,0,0,740,620,NA,0,0,1,0,0
NA,0,0,1,0,0,0,0,0,1,0,0,710,440,NA,0,0,1,0,0
3.143,51,1,0,0,0,1,0,0,1,0,0,510,620,NA,0,0,1,0,0
NA,0,1,0,0,0,0,0,1,0,0,0,630,570,NA,0,0,1,0,0
3.07,30,0,NA,NA,NA,NA,NA,NA,NA,0,0,660,720,NA,0,0,1,0,0
NA,4,0,0,0,0,0,0,1,0,0,0,660,550,NA,0,0,1,0,0
3.644,63,1,0,0,0,0,0,1,0,0,0,760,630,NA,0,0,1,0,0
2.687,31,0,0,0,0,0,0,1,0,0,0,570,540,NA,0,0,1,0,0
NA,0,1,1,0,0,0,0,0,1,0,0,720,460,NA,0,0,1,0,0
2.939,36,1,NA,NA,NA,NA,NA,NA,NA,0,0,610,500,NA,0,0,1,0,0
3.679,42,0,0,0,0,0,0,1,0,0,0,650,650,NA,0,0,1,0,0
3.894,53,0,NA,NA,NA,NA,NA,NA,NA,0,0,750,660,NA,0,0,1,0,0
NA,96,1,0,0,0,0,0,1,0,0,0,520,570,NA,0,0,1,0,0
3.623,40,1,0,0,0,0,0,1,0,0,0,770,800,NA,0,0,1,0,0
2.263,28,0,0,1,0,0,0,0,1,0,0,570,560,NA,0,0,1,0,0
NA,31,1,0,0,0,0,0,1,0,0,0,590,590,NA,0,0,1,0,0
2.814,35,1,0,0,0,0,0,1,0,0,0,600,710,NA,0,0,1,0,0
2.486,34,1,0,0,0,0,0,1,0,0,0,640,620,NA,0,0,1,0,0
NA,32,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,0,0,1,0,0
3.48,30,0,0,0,0,0,0,1,0,0,0,640,580,NA,0,0,1,0,0
NA,15,1,NA,NA,NA,NA,NA,NA,NA,0,0,690,570,NA,0,0,1,0,0
NA,4,0,0,0,0,0,0,1,0,0,0,650,570,NA,0,0,1,0,0
NA,40,0,0,0,0,0,0,1,0,0,0,510,600,NA,0,0,1,0,0
